date,value
2019-01-07,100000.0
2019-01-14,100000.0
2019-01-21,100000.0
2019-01-28,100000.0
2019-02-04,100000.0
2019-02-11,100000.0
2019-02-18,100000.0
2019-02-25,100000.0
2019-03-05,100000.0
2019-03-11,100000.0
2019-03-18,100000.0
2019-03-25,100000.0
2019-04-01,100000.0
2019-04-08,100000.0
2019-04-15,100000.0
2019-04-22,100000.0
2019-04-30,100000.0
2019-05-06,100000.0
2019-05-13,100000.0
2019-05-20,100000.0
2019-05-27,100000.0
2019-06-03,100000.0
2019-06-10,100000.0
2019-06-17,100000.0
2019-06-24,100000.0
2019-07-01,100000.0
2019-07-08,100000.0
2019-07-15,100000.0
2019-07-22,100000.0
2019-07-29,100000.0
2019-08-05,100000.0
2019-08-13,100000.0
2019-08-19,100000.0
2019-08-26,100000.0
2019-09-03,100000.0
2019-09-09,100000.0
2019-09-16,100000.0
2019-09-23,100000.0
2019-09-30,100000.0
2019-10-07,100000.0
2019-10-14,100000.0
2019-10-22,100000.0
2019-10-27,100000.0
2019-11-04,100000.0
2019-11-11,100000.0
2019-11-18,100000.0
2019-11-25,100000.0
2019-12-02,100000.0
2019-12-09,100000.0
2019-12-16,100000.0
2019-12-23,100000.0
2019-12-30,100000.0
2020-01-06,100000.0
2020-01-13,100000.0
2020-01-20,100000.0
2020-01-27,100000.0
2020-02-03,100000.0
2020-02-10,99893.13346
2020-02-17,99677.36866725693
2020-02-24,101311.37692851547
2020-03-02,93324.58668908577
2020-03-09,93324.58668908577
2020-03-16,93324.58668908577
2020-03-23,93324.58668908577
2020-03-30,93324.58668908577
2020-04-07,93324.58668908577
2020-04-13,93324.58668908577
2020-04-20,93324.58668908577
2020-04-27,93324.58668908577
2020-05-04,93324.58668908577
2020-05-11,93324.58668908577
2020-05-18,93324.58668908577
2020-05-26,93324.58668908577
2020-06-01,93324.58668908577
2020-06-08,93324.58668908577
2020-06-15,93324.58668908577
2020-06-22,93224.85393232187
2020-06-29,91053.3212067082
2020-07-06,93673.77201518473
2020-07-13,93511.26786423294
2020-07-20,92845.57065427848
2020-07-27,94568.0050403752
2020-08-03,93385.50535513755
2020-08-10,101753.27000643998
2020-08-17,99131.20437160283
2020-08-24,102838.0503795694
2020-08-31,99729.64011268289
2020-09-07,106752.72242335498
2020-09-14,115698.76692621235
2020-09-21,113819.93366345346
2020-09-28,118375.14502329523
2020-10-05,118289.12961862389
2020-10-12,116814.8015867874
2020-10-19,118204.18699691482
2020-10-26,117963.57624398977
2020-11-02,120674.94399982077
2020-11-09,125477.55350126192
2020-11-14,142794.10377198918
2020-11-23,150489.6153496092
2020-12-01,156113.74512501163
2020-12-07,158530.2474255815
2020-12-14,158558.68017811823
2020-12-21,158285.52281194486
2020-12-28,168967.11773453266
2021-01-04,173767.81594829907
2021-01-11,172024.97718393157
2021-01-18,168111.67068988888
2021-01-25,165998.3762781605
2021-02-01,170011.05578658314
2021-02-08,181890.16760672847
2021-02-15,185446.60592065315
2021-02-22,190650.07911823245
2021-03-01,191990.18982612813
2021-03-08,193588.7123108902
2021-03-15,199244.39302472858
2021-03-22,197790.4248858
2021-03-30,192690.7823696673
2021-04-05,197221.30559897568
2021-04-12,199505.30185114432
2021-04-19,196597.98614839985
2021-04-26,199654.17771487596
2021-05-03,199440.8142031866
2021-05-10,214720.2883623846
2021-05-17,205604.12148383856
2021-05-24,222703.082344656
2021-05-31,225975.1478119653
2021-06-07,237720.0742432819
2021-06-14,244569.47234450124
2021-06-21,234078.66919694166
2021-06-28,231431.82696018633
2021-07-05,226424.66158140355
2021-07-12,233775.5883854836
2021-07-19,231754.37757763517
2021-07-26,240092.67512145915
2021-08-02,239404.203615708
2021-08-09,236551.83432004703
2021-08-16,229715.6025901171
2021-08-23,214067.4998813406
2021-08-30,230016.2198757538
2021-09-06,233930.6318664687
2021-09-13,245366.19163537349
2021-09-20,238265.410061061
2021-09-27,252784.9303868792
2021-10-04,264831.2977444091
2021-10-11,278427.75113906816
2021-10-18,286258.7324314449
2021-10-25,268289.6493344918
2021-11-01,271783.4367854577
2021-11-08,287048.5460872524
2021-11-15,299168.92033434316
2021-11-22,307538.3413179381
2021-11-29,327326.9928617459
2021-12-06,326977.18982998846
2021-12-13,352926.81425861386
2021-12-20,334428.85719551874
2021-12-27,334428.85719551874
2022-01-03,334428.85719551874
2022-01-10,334071.4646470724
2022-01-17,345192.71726512583
2022-01-24,319510.56607618637
2022-01-31,319510.56607618637
2022-02-07,319510.56607618637
2022-02-14,319510.56607618637
2022-02-21,319510.56607618637
2022-02-28,319510.56607618637
2022-03-07,319510.56607618637
2022-03-14,319510.56607618637
2022-03-21,319510.56607618637
2022-03-28,319510.56607618637
2022-04-04,319169.1161892863
2022-04-11,324881.77123825427
2022-04-18,315308.62116753444
2022-04-25,308271.0268665274
2022-05-02,308271.0268665274
2022-05-09,308271.0268665274
2022-05-16,308271.0268665274
2022-05-23,308271.0268665274
2022-05-30,308271.0268665274
2022-06-06,308271.0268665274
2022-06-13,308271.0268665274
2022-06-20,308271.0268665274
2022-06-27,308271.0268665274
2022-07-04,308271.0268665274
2022-07-11,308271.0268665274
2022-07-18,308271.0268665274
2022-07-25,307941.5882862927
2022-08-01,311062.83783103107
2022-08-08,308353.5158503481
2022-08-16,313846.3320818495
2022-08-22,313114.74341722537
2022-08-29,320556.9662572492
2022-09-05,323463.17038668843
2022-09-12,329412.97235803225
2022-09-19,332380.20049910893
2022-09-26,315576.32165263593
2022-10-03,304735.4353431876
2022-10-10,313611.7744679861
2022-10-17,312585.64807559416
2022-10-24,322941.9822968886
2022-10-31,321910.47528665385
2022-11-07,334189.5047185213
2022-11-14,332545.47814426315
2022-11-21,331126.08432730014
2022-11-28,330820.6499029673
2022-12-05,335493.4805977968
2022-12-12,333745.15692003
2022-12-19,331982.1067867415
2022-12-26,307594.01524095493
2023-01-02,307265.30015962
2023-01-09,305798.0713456119
2023-01-16,305471.2755273781
2023-01-23,307002.58060747234
2023-01-30,288173.60874475207
2023-02-06,288173.60874475207
2023-02-13,288173.60874475207
2023-02-20,288173.60874475207
2023-02-27,288173.60874475207
2023-03-06,288173.60874475207
2023-03-13,288173.60874475207
2023-03-20,288173.60874475207
2023-03-27,288173.60874475207
2023-04-03,288173.60874475207
2023-04-10,288173.60874475207
2023-04-17,288173.60874475207
2023-04-24,288173.60874475207
2023-05-02,287865.64757989347
2023-05-08,290450.57330275344
2023-05-15,289754.73225310736
2023-05-22,288349.65374062554
2023-05-29,288134.216512384
2023-06-05,302299.395961454
2023-06-12,316130.20896073576
2023-06-19,336842.56876475876
2023-06-26,338517.2799669638
2023-07-03,352559.7643218064
2023-07-10,354629.9395372803
2023-07-17,378874.0186057442
2023-07-24,408374.4048020133
2023-07-31,408526.5002268533
2023-08-07,407108.36850236426
2023-08-14,408355.8595042935
2023-08-21,428185.2278042637
2023-08-28,444765.8810901436
2023-09-04,465661.34119163995
2023-09-11,499081.3417615645
2023-09-18,476985.8255471316
2023-09-25,467737.39291585394
2023-10-03,473773.427170218
2023-10-09,453964.5552529596
2023-10-16,484034.48403689545
2023-10-23,465563.6300119186
2023-10-30,474711.5162244254
2023-11-06,474711.5162244254
2023-11-13,474711.5162244254
2023-11-20,474204.2084520549
2023-11-28,469385.27617354196
2023-12-04,480673.11495304434
2023-12-11,480111.11793824565
2023-12-18,484884.41758437396
2023-12-26,478247.37055439345
2024-01-01,487476.4095775367
2024-01-08,497691.4272106334
2024-01-15,509163.3788065474
2024-01-23,496744.4283564267
2024-01-29,527070.64560462
2024-02-05,552301.213590943
2024-02-12,538695.2925023924
2024-02-19,557066.9957522752
2024-02-26,562661.5255542853
2024-03-04,554246.6230635247
2024-03-11,529629.947343575
2024-03-18,506387.49804377777
2024-03-26,525787.0435910798
2024-04-01,549948.2923358605
2024-04-08,580546.8189931716
2024-04-15,565982.8233466637
2024-04-22,602626.9147789362
2024-04-29,622929.2487169885
2024-05-06,610427.051889805
2024-05-13,578301.2306082161
2024-05-21,650332.95444863
2024-05-27,660040.1902224558
2024-06-03,683153.3875327465
2024-06-10,664212.6362175728
2024-06-18,717474.1202905918
2024-06-24,715007.3352368401
2024-07-01,717949.8758402525
2024-07-08,757304.9359943756
2024-07-15,764393.5409993515
2024-07-22,719785.9737798969
2024-07-29,740931.9296019293
2024-08-05,718522.5638730752
2024-08-12,717779.2273674539
2024-08-19,716247.9026578027
2024-08-26,701822.1287574511
2024-09-02,702714.3358674634
2024-09-09,669312.1693948898
2024-09-16,672764.0615708146
2024-09-23,659186.0995514236
2024-09-30,649224.9134568452
2024-10-07,605251.983662083
2024-10-14,646193.1267106828
2024-10-21,629958.9772250376
2024-10-28,609924.5264905035
2024-11-04,609924.5264905035
2024-11-11,609924.5264905035
2024-11-18,609924.5264905035
2024-11-25,609924.5264905035
2024-12-02,609924.5264905035
2024-12-09,609924.5264905035
2024-12-16,609272.7212524317
2024-12-23,583819.1245616532
2024-12-30,583819.1245616532
