date,filtered,baseline
2019-01-07,100000.0,100000.0
2019-01-14,100000.0,100000.0
2019-01-21,100000.0,100000.0
2019-01-28,100000.0,100000.0
2019-02-04,100000.0,100000.0
2019-02-11,100000.0,100000.0
2019-02-18,100000.0,100000.0
2019-02-25,100000.0,100000.0
2019-03-05,100000.0,100000.0
2019-03-11,100000.0,100000.0
2019-03-18,100000.0,100000.0
2019-03-25,100000.0,100000.0
2019-04-01,100000.0,100000.0
2019-04-08,100000.0,100000.0
2019-04-15,100000.0,100000.0
2019-04-22,100000.0,100000.0
2019-04-30,100000.0,100000.0
2019-05-06,100000.0,100000.0
2019-05-13,100000.0,100000.0
2019-05-20,100000.0,100000.0
2019-05-27,100000.0,100000.0
2019-06-03,100000.0,100000.0
2019-06-10,100000.0,100000.0
2019-06-17,100000.0,100000.0
2019-06-24,100000.0,100000.0
2019-07-01,100000.0,100000.0
2019-07-08,100000.0,100000.0
2019-07-15,100000.0,100000.0
2019-07-22,100000.0,100000.0
2019-07-29,100000.0,100000.0
2019-08-05,100000.0,100000.0
2019-08-13,100000.0,100000.0
2019-08-19,100000.0,100000.0
2019-08-26,100000.0,100000.0
2019-09-03,100000.0,100000.0
2019-09-09,100000.0,100000.0
2019-09-16,100000.0,100000.0
2019-09-23,100000.0,100000.0
2019-09-30,100000.0,100000.0
2019-10-07,100000.0,100000.0
2019-10-14,100000.0,100000.0
2019-10-22,100000.0,100000.0
2019-10-27,100000.0,100000.0
2019-11-04,100000.0,100000.0
2019-11-11,100000.0,100000.0
2019-11-18,100000.0,100000.0
2019-11-25,100000.0,100000.0
2019-12-02,100000.0,100000.0
2019-12-09,100000.0,100000.0
2019-12-16,100000.0,100000.0
2019-12-23,100000.0,100000.0
2019-12-30,100000.0,100000.0
2020-01-06,100000.0,100000.0
2020-01-13,100000.0,100000.0
2020-01-20,100000.0,100000.0
2020-01-27,100000.0,100000.0
2020-02-03,100000.0,100000.0
2020-02-10,99893.13346,99893.13346
2020-02-17,99677.36866725693,99677.36866725693
