Date,Close
2018-01-01,71536.84375
2018-01-02,70393.9296875
2018-01-03,70322.0390625
2018-01-04,70367.9921875
2018-01-05,72033.875
2018-01-08,71742.0390625
2018-01-09,72151.59375
2018-01-10,71614.5390625
2018-01-11,71447.0234375
2018-01-12,71110.1171875
2018-01-15,70678.3515625
2018-01-16,69443.8984375
2018-01-17,69578.484375
2018-01-18,67981.484375
2018-01-19,68328.8203125
2018-01-22,68843.875
2018-01-23,69094.2578125
2018-01-24,68070.453125
2018-01-25,66735.734375
2018-01-29,66106.453125
2018-01-30,67445.0703125
2018-01-31,67298.65625
2018-02-01,70918.1328125
2018-02-02,68430.9921875
2018-02-05,67794.40625
2018-02-06,67708.796875
2018-02-07,68004.203125
2018-02-08,69331.7265625
2018-02-09,69179.3125
2018-02-12,70787.0390625
2018-02-14,71467.1328125
2018-02-15,71296.2421875
2018-02-16,70314.3671875
2018-02-19,69782.25
2018-02-20,69981.34375
2018-02-21,70931.4453125
2018-02-22,69272.203125
2018-02-23,71609.609375
2018-02-26,71824.40625
2018-02-27,71799.734375
2018-02-28,72516.8671875
2018-03-01,71817.34375
2018-03-05,71462.609375
2018-03-06,70623.96875
2018-03-07,69411.9140625
2018-03-08,69367.65625
2018-03-09,69938.03125
2018-03-12,70246.8515625
2018-03-13,70862.53125
2018-03-14,70432.0703125
2018-03-15,70882.9375
2018-03-16,69374.8125
2018-03-19,69239.640625
2018-03-20,68763.578125
2018-03-21,69132.5390625
2018-03-22,68661.0703125
2018-03-23,68411.6796875
2018-03-26,69127.890625
2018-03-27,71790.09375
2018-03-28,71648.9921875
2018-04-02,72250.9375
2018-04-03,74602.4921875
2018-04-04,73843.484375
2018-04-05,76094.65625
2018-04-06,76217.8515625
2018-04-09,76323.2578125
2018-04-10,75915.375
2018-04-11,75556.1953125
2018-04-12,76688.640625
2018-04-13,77160.59375
2018-04-16,77436.4296875
2018-04-17,78820.890625
2018-04-18,78127.4453125
2018-04-19,78374.5859375
2018-04-20,77179.125
2018-04-23,77032.2421875
2018-04-24,77019.359375
2018-04-25,76572.7578125
2018-04-26,75597.25
2018-04-27,79454.828125
2018-04-30,78980.7421875
2018-05-02,78661.921875
2018-05-03,76110.0703125
2018-05-04,74818.9921875
2018-05-07,75207.859375
2018-05-08,74843.953125
2018-05-09,75113.71875
2018-05-10,73988.9609375
2018-05-11,73785.4609375
2018-05-14,73846.59375
2018-05-15,73715.765625
2018-05-16,73981.015625
2018-05-17,73671.2890625
2018-05-18,73321.75
2018-05-21,72230.8125
2018-05-22,72992.96875
2018-05-23,73256.84375
2018-05-24,72723.4609375
2018-05-25,72986.0
2018-05-28,75155.8046875
2018-05-29,75481.7421875
2018-05-30,76168.8203125
2018-05-31,74831.390625
2018-06-01,73956.7890625
2018-06-04,73592.8828125
2018-06-05,72935.875
2018-06-06,73397.1640625
2018-06-07,74528.4765625
2018-06-08,75024.0234375
