Date,Close
2018-01-01,19020.78515625
2018-01-02,18534.103515625
2018-01-03,18480.384765625
2018-01-04,18501.224609375
2018-01-05,18453.205078125
2018-01-08,18721.90625
2018-01-09,18297.109375
2018-01-10,18130.587890625
2018-01-11,17978.46875
2018-01-12,18260.09765625
2018-01-15,18196.447265625
2018-01-16,17638.994140625
2018-01-17,17673.888671875
2018-01-18,17450.05859375
2018-01-19,17609.158203125
2018-01-22,17389.849609375
2018-01-23,17488.099609375
2018-01-24,17197.138671875
2018-01-25,16902.974609375
2018-01-29,16860.119140625
2018-01-30,16699.689453125
2018-01-31,16616.087890625
2018-02-01,16698.314453125
2018-02-02,16412.55859375
2018-02-05,16194.0380859375
2018-02-06,15660.078125
2018-02-07,16269.140625
2018-02-08,16673.544921875
2018-02-09,16697.0859375
2018-02-12,17519.310546875
2018-02-14,16671.138671875
2018-02-15,16594.36328125
2018-02-16,16384.1015625
2018-02-19,16192.61328125
2018-02-20,16152.9501953125
2018-02-21,16020.4423828125
2018-02-22,15749.677734375
2018-02-23,16323.5009765625
2018-02-26,16088.8603515625
2018-02-27,16718.6640625
2018-02-28,16973.501953125
2018-03-01,16813.076171875
2018-03-05,16489.28125
2018-03-06,16157.0771484375
2018-03-07,15981.1220703125
2018-03-08,15674.87109375
2018-03-09,15591.7099609375
2018-03-12,15621.69140625
2018-03-13,15606.1611328125
2018-03-14,15583.994140625
2018-03-15,15642.4814453125
2018-03-16,15527.02734375
2018-03-19,15085.3701171875
2018-03-20,14982.10546875
2018-03-21,14927.4033203125
2018-03-22,14914.966796875
2018-03-23,15020.8369140625
2018-03-26,15485.8896484375
2018-03-27,16212.275390625
2018-03-28,16653.982421875
2018-04-02,16897.3203125
2018-04-03,17896.146484375
2018-04-04,17834.41015625
2018-04-05,17841.14453125
2018-04-06,18077.9453125
2018-04-09,18063.548828125
2018-04-10,18078.734375
2018-04-11,18038.283203125
2018-04-12,18759.751953125
2018-04-13,18445.443359375
2018-04-16,18093.529296875
2018-04-17,17793.26953125
2018-04-18,17946.521484375
2018-04-19,18188.388671875
2018-04-20,18366.99609375
2018-04-23,18554.896484375
2018-04-24,18741.814453125
2018-04-25,18838.587890625
2018-04-26,18717.826171875
2018-04-27,18733.408203125
2018-04-30,18600.212890625
2018-05-02,18581.83203125
2018-05-03,18502.30859375
2018-05-04,18274.98828125
2018-05-07,18380.21875
2018-05-08,18469.525390625
2018-05-09,18290.71875
2018-05-10,18289.634765625
