Date,Close
2018-01-01,17896.814453125
2018-01-02,17561.91015625
2018-01-03,18023.01953125
2018-01-04,18068.91015625
2018-01-05,17992.453125
2018-01-08,17831.318359375
2018-01-09,17621.271484375
2018-01-10,17157.328125
2018-01-11,16806.859375
2018-01-12,16586.22265625
2018-01-15,16669.4140625
2018-01-16,16495.59765625
2018-01-17,16729.84765625
2018-01-18,16819.9140625
2018-01-19,16891.259765625
2018-01-22,17471.001953125
2018-01-23,17392.64453125
2018-01-24,17375.12890625
2018-01-25,17516.154296875
2018-01-29,17631.537109375
2018-01-30,17469.982421875
2018-01-31,17461.66796875
2018-02-01,17913.072265625
2018-02-02,17017.001953125
2018-02-05,17598.185546875
2018-02-06,17151.2421875
2018-02-07,17157.603515625
2018-02-08,17200.5703125
2018-02-09,17580.859375
2018-02-12,20165.57421875
2018-02-14,19220.22265625
2018-02-15,18954.34375
2018-02-16,18507.91015625
2018-02-19,18783.12890625
2018-02-20,19042.642578125
2018-02-21,19084.912109375
2018-02-22,19253.806640625
2018-02-23,19261.751953125
2018-02-26,19222.59375
2018-02-27,19104.75
2018-02-28,19246.513671875
2018-03-01,19520.94140625
2018-03-05,19353.53515625
2018-03-06,19274.84765625
2018-03-07,18978.44921875
2018-03-08,18904.548828125
2018-03-09,18815.177734375
2018-03-12,18680.845703125
2018-03-13,18739.556640625
2018-03-14,18687.953125
2018-03-15,18644.9375
2018-03-16,18572.2421875
2018-03-19,18291.267578125
2018-03-20,18216.482421875
2018-03-21,18144.298828125
2018-03-22,18143.7421875
2018-03-23,17852.5
2018-03-26,17683.001953125
2018-03-27,17691.083984375
2018-03-28,18034.583984375
2018-04-02,18555.80078125
2018-04-03,18683.4453125
2018-04-04,18677.59375
2018-04-05,19173.3984375
2018-04-06,19245.02734375
2018-04-09,19030.150390625
2018-04-10,19196.39453125
2018-04-11,18911.00390625
2018-04-12,19249.162109375
2018-04-13,19433.197265625
2018-04-16,19032.14453125
2018-04-17,19128.716796875
2018-04-18,19164.85546875
2018-04-19,19118.63671875
2018-04-20,19023.5078125
2018-04-23,19017.75
2018-04-24,18955.55078125
2018-04-25,18991.875
2018-04-26,18963.5859375
2018-04-27,19025.224609375
2018-04-30,19066.9375
2018-05-02,19140.14453125
2018-05-03,19067.494140625
2018-05-04,18999.4453125
2018-05-07,19020.48828125
2018-05-08,19152.685546875
2018-05-09,19136.56640625
2018-05-10,18900.73828125
2018-05-11,18952.251953125
2018-05-14,19016.123046875
2018-05-15,18744.529296875
2018-05-16,18797.62109375
2018-05-17,18607.91796875
2018-05-18,18459.97265625
2018-05-21,17884.921875
2018-05-22,18110.853515625
2018-05-23,18206.634765625
2018-05-24,18616.048828125
2018-05-25,18500.478515625
2018-05-28,18396.197265625
2018-05-29,18564.71875
2018-05-30,18590.962890625
2018-05-31,18156.052734375
2018-06-01,17979.49609375
2018-06-04,17478.9921875
2018-06-05,17280.65234375
2018-06-06,17092.109375
2018-06-07,17201.08203125
2018-06-08,17599.484375
2018-06-11,17667.767578125
2018-06-12,17617.462890625
2018-06-13,17774.833984375
2018-06-14,18167.013671875
2018-06-15,18188.984375
2018-06-18,18105.79296875
2018-06-19,17907.822265625
2018-06-20,18494.068359375
2018-06-21,18421.654296875
2018-06-22,18648.005859375
2018-06-25,18427.73828125
2018-06-26,18383.423828125
2018-06-27,18199.482421875
2018-06-28,17891.517578125
2018-06-29,18242.91015625
2018-07-02,18403.2578125
2018-07-03,18165.478515625
2018-07-04,18172.44921875
2018-07-05,18270.408203125
2018-07-06,18451.2421875
2018-07-09,18462.34375
2018-07-10,18627.798828125
2018-07-11,18474.9765625
2018-07-12,18476.32421875
2018-07-13,18528.904296875
