Date,Close
2018-01-01,116.50435638427734
2018-01-02,114.85504913330078
2018-01-03,115.77133178710938
2018-01-04,117.46643829345703
2018-01-05,117.78713989257812
2018-01-08,122.46014404296875
2018-01-09,121.31480407714844
2018-01-10,122.23107147216797
2018-01-11,122.46014404296875
2018-01-12,122.50594329833984
2018-01-15,121.40642547607422
2018-01-16,119.0699234008789
2018-01-17,117.78713989257812
2018-01-18,115.45063018798828
2018-01-19,115.40483093261719
2018-01-22,118.97830200195312
2018-01-23,120.49015045166016
2018-01-24,120.44432830810547
2018-01-25,116.87086486816406
2018-01-29,117.78713989257812
2018-01-30,118.24527740478516
2018-01-31,118.15364074707031
2018-02-01,118.24527740478516
2018-02-02,107.2499771118164
2018-02-05,108.07461547851562
2018-02-06,105.3258056640625
2018-02-07,105.50904846191406
2018-02-08,108.166259765625
2018-02-09,108.80765533447266
2018-02-12,108.80765533447266
2018-02-14,109.95299530029297
2018-02-15,109.31159973144531
2018-02-16,108.166259765625
2018-02-19,108.30368041992188
2018-02-20,108.48695373535156
2018-02-21,108.80765533447266
2018-02-22,106.01300811767578
2018-02-23,106.83765411376953
2018-02-26,110.6860122680664
2018-02-27,112.38111877441406
2018-02-28,109.26579284667969
2018-03-01,108.25788879394531
2018-03-05,104.18045806884766
2018-03-06,106.05882263183594
2018-03-07,106.6543960571289
2018-03-08,107.4332275390625
2018-03-09,105.96719360351562
2018-03-12,106.70021057128906
2018-03-13,109.58646392822266
2018-03-14,109.0367202758789
2018-03-15,108.3495101928711
2018-03-16,106.92928314208984
2018-03-19,102.71440887451172
2018-03-20,104.31790161132812
2018-03-21,103.2641830444336
2018-03-22,102.48534393310547
2018-03-23,101.0193099975586
2018-03-26,102.11884307861328
2018-03-27,101.79814147949219
2018-03-28,100.65279388427734
2018-04-02,102.43952941894531
2018-04-03,102.43952941894531
2018-04-04,101.20256042480469
2018-04-05,102.16465759277344
2018-04-06,103.8597640991211
2018-04-09,104.59278869628906
2018-04-10,103.9513931274414
2018-04-11,100.92768859863281
2018-04-12,99.69071960449219
2018-04-13,100.2862777709961
2018-04-16,100.10303497314453
2018-04-17,100.19465637207031
2018-04-18,98.1788558959961
2018-04-19,96.52957153320312
2018-04-20,98.72862243652344
2018-04-23,98.59117889404297
2018-04-24,98.8660659790039
2018-04-25,99.69071960449219
2018-04-26,99.96558380126953
2018-04-27,98.3163070678711
2018-04-30,99.00350952148438
2018-05-02,98.04141235351562
2018-05-03,96.25468444824219
2018-05-04,96.39212036132812
2018-05-07,96.75862884521484
2018-05-08,97.0793228149414
2018-05-09,97.03351593017578
2018-05-10,96.52957153320312
2018-05-11,97.21676635742188
2018-05-14,97.6749038696289
2018-05-15,96.62118530273438
2018-05-16,96.66700744628906
2018-05-17,95.38422393798828
2018-05-18,94.78864288330078
2018-05-21,91.49004364013672
2018-05-22,91.76493072509766
2018-05-23,88.87866973876953
2018-05-24,88.64959716796875
2018-05-25,89.52005767822266
2018-05-28,91.90237426757812
2018-05-29,88.6037826538086
2018-05-30,86.86286163330078
2018-05-31,85.03031158447266
2018-06-01,83.97659301757812
2018-06-04,82.83125305175781
2018-06-05,83.38101959228516
2018-06-06,83.65589904785156
2018-06-07,86.35890197753906
2018-06-08,87.68750762939453
2018-06-11,87.5042495727539
2018-06-12,87.59588623046875
2018-06-13,86.40472412109375
2018-06-14,86.58798217773438
2018-06-15,81.5484619140625
2018-06-18,82.4647445678711
2018-06-19,80.35730743408203
2018-06-20,79.99080657958984
2018-06-21,80.76963806152344
2018-06-22,80.86125183105469
2018-06-25,82.83125305175781
2018-06-26,82.83125305175781
2018-06-27,79.71591186523438
2018-06-28,73.64232635498047
2018-06-29,76.91636657714844
