Date,Close
2018-01-01,17377.357421875
2018-01-02,17446.46484375
2018-01-03,17542.61328125
2018-01-04,17425.138671875
2018-01-05,18380.947265625
2018-01-08,18778.185546875
2018-01-09,18832.220703125
2018-01-10,18901.7109375
2018-01-11,18934.95703125
2018-01-12,18291.580078125
2018-01-15,18494.345703125
2018-01-16,18516.39453125
2018-01-17,18391.123046875
2018-01-18,17873.587890625
2018-01-19,17808.583984375
2018-01-22,17929.625
2018-01-23,17844.822265625
2018-01-24,17692.150390625
2018-01-25,17621.5625
2018-01-29,17296.38671875
2018-01-30,16811.1171875
2018-01-31,16694.44140625
2018-02-01,16933.853515625
2018-02-02,16531.5390625
2018-02-05,16140.7705078125
2018-02-06,16026.4267578125
2018-02-07,16490.9296875
2018-02-08,16499.1796875
2018-02-09,16534.498046875
2018-02-12,16449.015625
2018-02-14,16312.9873046875
2018-02-15,16840.3671875
2018-02-16,16471.576171875
2018-02-19,16268.064453125
2018-02-20,16427.18359375
2018-02-21,16498.6484375
2018-02-22,16231.875
2018-02-23,16707.248046875
2018-02-26,16483.0234375
2018-02-27,16358.34765625
2018-02-28,16128.931640625
2018-03-01,16101.6650390625
2018-03-05,16131.50390625
2018-03-06,16150.716796875
2018-03-07,15698.7705078125
2018-03-08,15619.7919921875
2018-03-09,15524.755859375
2018-03-12,15671.0234375
2018-03-13,16295.9130859375
2018-03-14,16465.26953125
2018-03-15,16315.4130859375
2018-03-16,15935.8017578125
2018-03-19,15539.068359375
2018-03-20,15935.1728515625
2018-03-21,15638.0810546875
2018-03-22,15867.9345703125
2018-03-23,15562.16015625
2018-03-26,15789.34375
2018-03-27,15615.9111328125
2018-03-28,15714.6337890625
2018-04-02,15922.0732421875
2018-04-03,16148.873046875
2018-04-04,15832.6171875
2018-04-05,16192.8251953125
2018-04-06,16550.505859375
2018-04-09,16578.064453125
2018-04-10,16490.546875
2018-04-11,16406.666015625
2018-04-12,16439.3125
2018-04-13,16419.95703125
2018-04-16,16463.525390625
2018-04-17,16472.154296875
2018-04-18,16528.09375
2018-04-19,16631.958984375
2018-04-20,16494.134765625
2018-04-23,16608.041015625
2018-04-24,16732.86328125
2018-04-25,16892.861328125
2018-04-26,16714.8671875
2018-04-27,16512.6640625
2018-04-30,16439.751953125
2018-05-02,16109.7666015625
2018-05-03,16204.220703125
2018-05-04,15847.7529296875
2018-05-07,16063.341796875
2018-05-08,16035.931640625
2018-05-09,15866.431640625
2018-05-10,15626.29296875
2018-05-11,15725.064453125
2018-05-14,15703.0400390625
2018-05-15,15955.3046875
2018-05-16,15984.84765625
2018-05-17,15930.6123046875
2018-05-18,15902.619140625
2018-05-21,15596.6025390625
2018-05-22,15873.5615234375
2018-05-23,15566.71875
2018-05-24,15691.7353515625
2018-05-25,15766.8828125
2018-05-28,16325.8427734375
2018-05-29,16325.115234375
2018-05-30,16356.0693359375
2018-05-31,16378.4326171875
2018-06-01,16160.90234375
2018-06-04,15870.9423828125
2018-06-05,15622.9921875
2018-06-06,15661.1259765625
2018-06-07,15842.126953125
2018-06-08,15741.7529296875
2018-06-11,16233.9609375
2018-06-12,15771.4423828125
2018-06-13,15894.908203125
2018-06-14,15833.876953125
2018-06-15,15730.4501953125
2018-06-18,15649.7724609375
2018-06-19,15260.7998046875
2018-06-20,15038.8544921875
2018-06-21,14850.96484375
2018-06-22,15114.388671875
2018-06-25,15162.2216796875
2018-06-26,15447.3310546875
2018-06-27,15271.666015625
2018-06-28,15038.271484375
2018-06-29,15091.4892578125
2018-07-02,15412.9833984375
2018-07-03,15503.119140625
2018-07-04,15522.185546875
2018-07-05,15945.0205078125
2018-07-06,15719.4853515625
2018-07-09,16095.74609375
2018-07-10,16304.88671875
2018-07-11,16433.005859375
2018-07-12,16613.138671875
2018-07-13,16619.978515625
2018-07-16,15852.6533203125
2018-07-17,15542.802734375
2018-07-18,15769.8427734375
2018-07-19,15763.4892578125
2018-07-20,16074.3466796875
2018-07-23,16395.46484375
2018-07-24,17267.921875
2018-07-25,17003.28515625
2018-07-26,16991.130859375
2018-07-27,16609.796875
2018-07-30,16697.236328125
2018-07-31,16542.384765625
2018-08-01,16777.57421875
2018-08-02,16915.26171875
2018-08-03,16973.73046875
2018-08-06,16969.650390625
2018-08-07,16789.76953125
2018-08-08,16825.740234375
2018-08-09,16746.37109375
2018-08-10,16856.744140625
2018-08-13,16708.31640625
2018-08-14,16783.892578125
2018-08-16,16539.275390625
2018-08-17,17261.994140625
2018-08-20,17224.12890625
2018-08-21,17306.07421875
2018-08-23,17430.546875
2018-08-24,17859.607421875
2018-08-27,18039.91796875
2018-08-28,18255.1796875
2018-08-29,18271.41015625
2018-08-30,18341.697265625
2018-08-31,18396.76171875
2018-09-03,18514.18359375
2018-09-04,17859.12109375
2018-09-05,17718.708984375
2018-09-06,17687.119140625
2018-09-07,17452.560546875
2018-09-10,16781.953125
2018-09-11,16559.880859375
2018-09-12,16407.177734375
2018-09-14,17185.685546875
2018-09-17,17044.3046875
2018-09-18,16438.958984375
2018-09-19,16634.5859375
2018-09-21,16387.150390625
2018-09-24,16744.5234375
2018-09-25,16650.189453125
2018-09-26,16954.681640625
2018-09-27,16940.73046875
2018-09-28,16420.05078125
2018-10-01,16331.890625
2018-10-03,16167.4208984375
2018-10-04,15926.16015625
2018-10-05,15278.2890625
2018-10-08,15548.6630859375
2018-10-09,15304.4853515625
2018-10-10,15107.1611328125
2018-10-11,14409.3779296875
2018-10-12,14919.021484375
2018-10-15,14791.9736328125
2018-10-16,15097.341796875
2018-10-17,14703.177734375
